punkt,text
PSR_11.,"К опасным зонам с постоянным присутствием опасных производственных факторов в строительном производстве, отражаемым в организационно-технологической документации на строительное производство, относятся:
1) места на расстоянии ближе 2 м от неизолированных токоведущих частей электроустановок;
2) места на расстоянии ближе 2 м от неогражденных (отсутствие защитных ограждений) перепадов по высоте 1,8 м и более либо при высоте защитных ограждений менее 1,1 м."
PSR_12.,"К опасным зонам с возможным воздействием опасных производственных факторов относятся:
1) участки территории строящегося здания (сооружения);
2) этажи (ярусы) зданий и сооружений, над которыми происходит монтаж (демонтаж) конструкций или оборудования;
3) зоны перемещения машин, оборудования или их частей, рабочих органов;
4) места, над которыми происходит перемещение грузов кранами."
PSR_13.,"На границах зон с постоянным присутствием опасных производственных факторов должны быть установлены защитные ограждения, а зон с возможным воздействием опасных производственных факторов - сигнальные ограждения и знаки безопасности."
PSR_14.,"Для исключения работ на высоте в организационно-технологической документации на строительное производство предусматриваются преимущественное первоочередное устройство постоянных ограждающих конструкций (стен, панелей, ограждений балконов и проемов)."
PSR_15.,"В организационно-технологической документации на строительное производство должны быть определены:
1) устройства, предназначенные для организации рабочих мест при производстве строительно-монтажных работ на высоте (далее - средства подмащивания), предназначенные для выполнения данного вида работ или отдельной операции;
2) пути и средства подъема работников на рабочие места при строительстве зданий и сооружений выше 5-и этажей с установкой пассажирских подъемников и (или) лифтов;
3) грузозахватные приспособления, позволяющие осуществлять дистанционную расстроповку длинномерных и крупногабаритных строительных конструкций."
PSR_16.,"В целях предупреждения падения с высоты перемещаемых краном строительных конструкций, изделий, материалов, а также потери их устойчивости в процессе монтажа или складирования в организационно-технологической документации на строительное производство должны быть определены:
1) средства контейнеризации или тара для перемещения штучных или сыпучих материалов, а также бетона или раствора с учетом характера и массы перемещаемого груза и удобства подачи его к месту работ;
2) грузозахватные приспособления (грузовые стропы, траверсы и монтажные захваты), соответствующие массе и габаритам перемещаемого груза, условиям строповки и монтажа;
3) способы строповки, обеспечивающие подачу элементов конструкций при складировании и монтаже в соответствии с проектными решениями;
4) приспособления (пирамиды, кассеты), обеспечивающие устойчивое хранение элементов строительных конструкций;
5) порядок и способы складирования строительных конструкций, изделий, материалов и оборудования;
6) способы временного и окончательного закрепления конструкций;
7) способы удаления отходов строительных материалов и мусора;
8) защитные устройства (защитные улавливающие сетки, защитные перекрытия, козырьки или другие) при необходимости."
PSR_17.,"Перед началом строительного производства на территории действующего объекта (в том числе действующих административных, производственных и иных зданий) работодатель и руководитель (полномочный представитель руководителя) хозяйствующего субъекта, эксплуатирующего объект, должны оформить акт-допуск для производства строительно-монтажных работ на территории действующего объекта строительного производства (рекомендуемый образец предусмотрен приложением N 1 к Правилам) и наряд-допуск на производство работ в местах действия вредных и (или) опасных производственных факторов (рекомендуемый образец предусмотрен приложением N 2 к Правилам) (далее соответственно - акт-допуск, наряд-допуск)."
PSR_18.,"При совместном производстве нескольких видов работ, по которым требуется оформление наряда-допуска, допускается оформление единого наряда- допуска с включением в него требований по безопасному выполнению каждого из вида работ."
PSR_19.,"При выполнении строительного производства на территории действующих объектов строительного производства работодатель обязан совместно со всеми привлекаемыми им по договорам юридическими и физическими лицами, соответствующими требованиям градостроительного законодательства Российской Федерации, участвующими в строительном производстве (далее - участники строительного производства):
1) разработать график выполнения совместных работ, обеспечивающих безопасные условия труда, обязательный для участников строительного производства на данной территории;
2) осуществлять допуск участников строительного производства на производственную территорию в соответствии с требованиями Правил;
3) обеспечивать выполнение общих мероприятий охраны труда и координацию действий участников строительного производства по реализации мероприятий, обеспечивающих безопасность производства работ, согласно акту- допуску и графику выполнения совместных работ."
PSR_20.,"При совместной деятельности на земельном участке, на котором ведутся строительные работы или осуществляется освоение территории (далее - строительная площадка) несколькими работодателями на основании заключенных договоров, включая физических лиц, осуществляющих индивидуальную трудовую деятельность, каждый из них обязан обеспечить безопасные условия труда для привлекаемых ими работников в соответствии с оформленными актом-допуском, графиком выполнения совместных работ и требованиями Правил."
PSR_21.,"Работодателями в соответствии со спецификой производимых работ должен быть организован контроль за состоянием условий и охраны труда с периодичностью, установленной работодателями:
1) контроль исправности используемого оборудования, приспособлений, инструмента, наличия и целостности ограждений, защитного заземления и других средств защиты до начала и в процессе работы на своих рабочих местах, осуществляемый работниками (первый уровень);
2) контроль за состоянием условий и охраны труда, проводимый руководителями (производителями) работ совместно с полномочными представителями работников (второй уровень);
3) контроль за состоянием условий и охраны труда в структурных подразделениях и на участках строительного производства, проводимый работодателем (его полномочными представителями, включая специалистов службы охраны труда) совместного с представителями первичной профсоюзной организации или иного представительного органа работников согласно утвержденным планам (третий уровень).
При обнаружении нарушений требований охраны труда работники должны принять меры к их устранению собственными силами, а в случае невозможности - прекратить работы и информировать непосредственного руководителя (производителя работ).
В случае возникновения угрозы безопасности и здоровью работников непосредственные руководители (производители работ) обязаны прекратить работы и принять меры по устранению опасности, а при необходимости обеспечить эвакуацию людей в безопасное место.
При проведении строительного производства на обособленном участке принятие мер по обеспечению безопасности и охраны труда работников и организации противопожарных мероприятий возлагается на лицо, осуществляющее строительные работы."
PSR_22.,"Работы, связанные с повышенной опасностью, производимые в местах действия вредных и опасных производственных факторов, должны выполняться в соответствии с нарядом-допуском, определяющим содержание, место, время и условия производства работ, необходимые меры безопасности, состав бригады и лиц, ответственных за безопасность работ.
К работам, связанным с повышенной опасностью, относятся в том числе:
1) работы с применением подъемных сооружений и других строительных машин в охранных зонах воздушных линий электропередачи, газонефтепродуктопроводов, складов легковоспламеняющихся или горючих жидкостей, горючих или сжиженных газов;
2) работы в колодцах, шурфах, замкнутых, заглубленных и труднодоступных пространствах;
3) земляные работы на участках с патогенным заражением почвы (свалки, скотомогильники и другие), в охранных зонах подземных электрических сетей, газопровода, нефтепровода, нефтепродуктопровода и других опасных подземных коммуникаций;
4) осуществление текущего ремонта, демонтажа оборудования, а также производство ремонтных или каких-либо строительно-монтажных работ при наличии опасных факторов действующего опасного производственного объекта;
5) работы на высоте;
6) работы на участках, на которых имеется или может возникнуть опасность, связанная с выполнением опасных работ на смежных участках;
7) работы в непосредственной близости от полотна или проезжей части эксплуатируемых автомобильных и железных дорог;
8) газоопасные работы (присоединение вновь построенных газопроводов к действующей газовой сети, пуск газа в газопроводы и другие объекты систем газоснабжения при вводе в эксплуатацию, после их ремонта или расконсервации, виды ремонта, связанные с проведением огневых и сварочных работ на действующих внутренних и наружных газопроводах, газоиспользующих установках и другом газооборудовании);
9) кровельные работы газопламенным способом;
10) монтаж оборудования, трубопроводов и воздухопроводов в охранных зонах воздушных линий электропередачи, газопроводов, а также складов легковоспламеняющихся или горючих жидкостей, горючих или сжиженных газов;
11) монтажные работы в действующих теплосиловых и электрических цехах, ремонтные работы на электроустановках в открытых распределительных устройствах и в электрических сетях.
Перечень работ, связанных с повышенной опасностью, выполняемых с оформлением наряда-допуска, и порядок проведения указанных работ устанавливаются приказом работодателя в соответствии с требованиями охраны труда и Правилами."
PSR_23.,"Наряд-допуск выдается непосредственному руководителю работ (прорабу, мастеру, менеджеру и другим) должностным лицом, уполномоченным приказом работодателя. Перед началом работ руководитель работ обязан ознакомить работников с мероприятиями по безопасности производства работ и провести с ними целевой инструктаж по охране труда с оформлением записи в наряде-допуске."
PSR_24.,При выполнении работ в охранных зонах сооружений или коммуникаций наряд-допуск должен выдаваться при наличии письменного разрешения организации - владельца этого сооружения или коммуникации.
PSR_25.,"Наряд-допуск выдается на срок, необходимый для выполнения заданного объема работ, если иной срок не установлен соответствующими нормативно-правовыми актами Российской Федерации для объектов или видов работ.
Должностное лицо, выдавшее наряд-допуск, обязано осуществлять контроль за выполнением предусмотренных в нем мероприятий по обеспечению безопасности производства работ."
PSR_26.,"При организации и проведении в ходе строительного производства работ, связанных с перемещением строительных конструкций, грузов и материалов, погрузочно-разгрузочных работ и работ по безопасному размещению материалов и отходов строительного производства, в том числе с применением стационарного или передвижного механизма, используемого для подъема или опускания людей или грузов (далее - подъемное сооружение), работодателем должно быть обеспечено соблюдение требований правил по охране труда при погрузочно-разгрузочных работах и размещении грузов, утверждаемых Минтрудом России в соответствии с подпунктом 5.2.28 Положения о Министерстве труда и социальной защиты Российской Федерации, утвержденного постановлением Правительства Российской Федерации от 19 июня 2012 г. N 610 (Собрание законодательства Российской Федерации, 2012, N 26, ст. 3528), (далее - Положение о Министерстве труда и социальной защиты Российской Федерации) и требований Правил."
PSR_27.,"В ходе строительного производства работодателем должны предусматриваться меры по соблюдению положений нормативных правовых актов, устанавливающих требования безопасности при производстве работ с использованием асбеста и асбестосодержащих материалов <1>.
--------------------
<1> Конвенция N 162 Международной организации труда ""Об охране труда при использовании асбеста"" (заключена в г. Женеве 24 июня 1986 г.), ратифицированная Федеральным законом от 8 апреля 2000 г. N 50-ФЗ (Собрание законодательства Российской Федерации, 2000, N 15, ст. 1538)."
PSR_28.,"К участию в строительном производстве допускаются работники, прошедшие подготовку по охране труда и стажировку на рабочем месте под руководством лиц, назначаемых работодателем.
Работники, занятые на работах, выполнение которых предусматривает совмещение профессий (должностей), должны пройти подготовку по охране труда по видам работ, предусмотренных совмещаемыми профессиями (должностями)."
PSR_29.,"К работникам, участвующим в строительном производстве в условиях действия опасных производственных факторов, связанных с условиями и характером работы, предъявляются дополнительные (повышенные) требования охраны труда.
Работники, допускаемые к участию в строительном производстве, к которым предъявляются дополнительные (повышенные) требования охраны труда, должны периодически проходить специальное обучение по охране труда и проверку знания требований охраны труда.
Перечень работ, профессий и должностей работников, в отношении которых проводится специальное обучение по охране труда, а также порядок, форма, периодичность и продолжительность специального обучения устанавливаются работодателем по согласованию с первичной профсоюзной организацией или иным уполномоченным работниками представительным органом с учетом характера профессий (должностей), видов работ, специфики производства, условий труда и требований Правил."
PSR_30.,"Лица, находящиеся на строительной площадке, обязаны носить защитные каски.
Работники обязаны применять средства индивидуальной защиты в соответствии с требованиями нормативных правовых актов, содержащих государственные нормативные требования охраны труда. Работники без обязательных к использованию средств индивидуальной защиты к выполнению строительных работ не допускаются."
PSR_31.,"В соответствии с результатами специальной оценки условий труда и требованиями охраны труда работодатель должен обеспечивать работников, участвующих в строительном производстве средствами коллективной защиты и средствами индивидуальной защиты."
PSR_32.,"Работникам, работающим в холодное время года на открытом воздухе или в закрытых не обогреваемых помещениях, должны предоставляться специальные перерывы для обогревания и отдыха, которые включаются в рабочее время.
Продолжительность и порядок предоставления таких перерывов устанавливаются правилами внутреннего трудового распорядка с учетом мнения первичной профсоюзной организации или иного уполномоченного работниками представительного органа.
Длительность непрерывной работы на открытом воздухе в холодный период года, в том числе по обслуживанию технологического оборудования, размещенного на открытой площадке, определяется руководителем работ."
PSR_33.,"Работодатель обязан обеспечить работников, занятых в строительном производстве, санитарно-бытовыми помещениями (гардеробными, сушилками для одежды и обуви, душевыми, туалетами, помещениями для приема пищи, отдыха и обогрева) и устройствами обогрева, снабжения питьевой водой, горячей водой.
Обустройство и подготовка к эксплуатации санитарно-бытовых помещений и устройств должны быть закончены до начала производства строительных работ. Не допускается производство работ на строительной площадке без оборудования ее санитарно-бытовыми помещениями и устройствами.
При организации и проведении строительства многоэтажных (высотных) домов работодатель должен дополнительно предусматривать возможность использования работниками, участвующими в строительном производстве, на строящихся верхних этажах зданий (начиная с 6 этажа) переносных биотуалетов, перемещаемых по мере продвижения основных строительных работ."
PSR_34.,"На объектах проведения строительного производства должны организовываться посты оказания первой помощи, обеспеченные аптечками для оказания первой помощи работникам, укомплектованными изделиями медицинского назначения.

III. Требования охраны труда, предъявляемые к производственным территориям (помещениям, площадкам и участкам работ)"
PSR_35.,"Для обеспечения безопасного производства работ работодатель обязан осуществить подготовку строительных площадок, участков строительного производства, на которых будут заняты работники данного работодателя, до начала строительного производства и оформить акт (рекомендуемый образец предусмотрен приложением N 3 к Правилам)."
PSR_36.,Производственные территории и участки проведения строительного производства в населенных пунктах или на территории эксплуатируемого объекта в целях обеспечения безопасности строительных работ для третьих лиц должны быть ограждены во избежание доступа посторонних лиц.
PSR_37.,"Места прохода людей в пределах опасных зон должны иметь защитные ограждения. Входы в строящиеся здания (сооружения) должны быть защищены сверху козырьком, выступающим не менее чем на 2 м от стены здания. Угол, образуемый между козырьком и вышерасположенной стеной над входом, должен быть от 70° до 75°."
PSR_38.,"У въезда на производственную территорию при капитальном строительстве необходимо устанавливать стенды с указанием строящихся, сносимых и вспомогательных зданий и сооружений, въездов, подъездов, схем движения транспорта, местонахождения водоисточников, средств пожаротушения."
PSR_39.,"Автомобильные дороги, находящиеся на производственных территориях, должны быть оборудованы соответствующими дорожными знаками, регламентирующими порядок движения транспортных средств и строительных машин."
PSR_40.,"В случае если в процессе проведения строительного производства в опасные зоны в непосредственной близости от мест перемещения грузов кранами могут попасть эксплуатируемые гражданские или производственные здания и сооружения, транспортные или пешеходные дороги и другие места возможного нахождения людей, необходимо соблюдение следующих требований:
Необходимо оснащать краны дополнительными средствами ограничения зоны их работы, посредством которых зона работы крана должна быть принудительно ограничена таким образом, чтобы не допускать возникновения опасных зон в местах нахождения людей;
скорость поворота стрелы крана в сторону границы рабочей зоны должна быть ограничена до минимальной при расстоянии от перемещаемого груза до границы зоны менее 7 м;
перемещение грузов на участках, расположенных на расстоянии менее 7 м от границы опасных зон, должно производиться с применением дополнительных съемных грузозахватных приспособлений, предотвращающих падение груза;
по периметру здания необходимо установить защитный экран, имеющий равную или большую высоту по сравнению с высотой возможного нахождения груза, перемещаемого краном;
зона работы крана должна быть ограничена таким образом, чтобы перемещаемый груз не выходил за контуры здания в местах расположения защитного экрана."
